,PIB_nom,PIB_real,PIB_pot,OG,Ingresos_totales,Egresos_totales,Intereses,Beta,CC_Ingresos,G_primario,T_estructural,G_primario_estr,BEP,BE,FI
48,13694.31614,5321.68648,,,3827.39,4192.14,264.90999999999997,0.8742368844206614,,3927.2300000000005,,3927.2300000000005,,,
49,13925.57652,6187.346006,,,4075.29,4945.29,273.09000000000003,0.8742368844206614,,4672.2,,4672.2,,,
50,14537.09906,5790.530999,,,3757.9,5196.3,354.48,0.8742368844206614,,4841.82,,4841.82,,,
51,14525.33671,5998.172618,,,4047.81,6382.38,297.06,0.8742368844206614,,6085.32,,6085.32,,,
52,15126.8496,5498.240402,,,3916.87,4521.54,306.87,0.8742368844206614,,4214.67,,4214.67,,,
53,15254.99652,6387.989871,,,4339.16,5353.98,405.55,0.8742368844206614,,4948.429999999999,,4948.429999999999,,,
54,15750.32538,5842.775227,,,4546.76,5855.02,459.48,0.8742368844206614,,5395.540000000001,,5395.540000000001,,,
55,15772.27707,6200.411402,,,5035.31,6987.39,455.47,0.8742368844206614,,6531.92,,6531.92,,,
56,17173.63559,5739.403705,,,4978.08,5541.78,410.83000000000004,0.8742368844206614,,5130.95,,5130.95,,,
57,17115.17219,6620.937964,,,4858.55,5439.15,466.42999999999995,0.8742368844206614,,4972.719999999999,,4972.719999999999,,,
58,17723.60846,6202.285381,,,4739.72,5765.5,508.95,0.8742368844206614,,5256.55,,5256.55,,,
59,17613.69687,6365.435145,,,5274.34,6963.92,460.97999999999996,0.8742368844206614,,6502.9400000000005,,6502.9400000000005,,,
60,18314.35655,5994.797633,,,4874.84,5052.97,467.74,0.8742368844206614,,4585.2300000000005,,4585.2300000000005,,,
61,18446.91778,6884.146123,,,5595.35,5888.99,528.91,0.8742368844206614,,5360.08,,5360.08,,,
62,19881.4179,6438.360226,,,6967.03,6495.81,555.49,0.8742368844206614,,5940.320000000001,,5940.320000000001,,,
63,20381.12512,6712.935806,,,6930.88,8650.51,509.43999999999994,0.8742368844206614,,8141.070000000001,,8141.070000000001,,,
64,21683.18996,6259.400372,,,7054.15,5235.71,372.62,0.8742368844206614,,4863.09,,4863.09,,,
65,22293.93947,7150.288911,,,8270.86,6440.22,425.67999999999995,0.8742368844206614,,6014.54,,6014.54,,,
66,24076.11331,6807.897034,,,10414.78,8425.91,394.15999999999997,0.8742368844206614,,8031.75,,8031.75,,,
67,23694.55259,7061.326349,,,10119.93,11625.95,469.9,0.8742368844206614,,11156.050000000001,,11156.050000000001,,,
68,24083.5949,6417.302423,,,10068.73,7719.14,316.90999999999997,0.8742368844206614,,7402.2300000000005,,7402.2300000000005,,,
69,24831.21713,7442.694173,,,10219.63,9906.07,368.25,0.8742368844206614,,9537.82,,9537.82,,,
70,26975.73673,7171.627843,,,12050.43,10963.46,180.89000000000001,0.8742368844206614,,10782.57,,10782.57,,,
